			Continente   Extension   Pob1950   Pob2000
"Afghanistan"		Asia	     647500.0	 8150368.0   25888797.0
"Albania"		Europe	     28748.0	 1227156.0   3490435.0
"Algeria"		Africa	     2381740.0	 8892718.0   31193917.0
"American Samoa"	Oceania	     199.0	 19100.0	   65446.0
"Andorra"		Europe	     468.0	 6176.0	   66824.0
"Angola"		Africa	     1246700.0	 4117617.0   10132376.0
"Anguilla"		America	     102.0	 5219.0	   11797.0
"Antigua"		America	     443.0	 45816.0	   66464.0
"Argentina"		America	     2766890.0	 17150336.0  37497728.0
"Armenia"		Asia	     29800.0	 1355269.0   3344336.0
"Aruba"			America	     193.0	 49712.0	   69539.0
"Australia"		Oceania	     7686850.0	 8267337.0   19164620.0
"Austria"		Europe	     83858.0	 6935100.0   8131111.0
"Azerbaijan"		Asia	     86600.0	 2885332.0   7748163.0
"Bahamas"		America	     13940.0	 70498.0	   290075.0
"Bahrain"		Asia	     665.0	 114840.0	   634137.0
"Bangladesh"		Asia	     144000.0	 45645964.0  130406594.0
"Barbados"		America	     431.0	 210666.0	   273894.0
"Belarus"		Europe	     207600.0	 7722155.0   10366719.0
"Belgium"		Europe	     30510.0	 8639369.0   10241506.0
"Belize"		America	     22966.0	 65797.0	   247009.0
"Benin"			Africa	     112620.0	 1672661.0   6428396.0
"Bermuda"		Oceania	     53.0		 38869.0	   62971.0
"Bhutan"		Asia	     47000.0	 734000.0	   2005222.0
"Bolivia"		America	     1098580.0	 2766028.0   8152620.0
"Bosnia and Herzegovina" Europe	     51129.0	 2662000.0   3835777.0
"Botswana"		Africa	     600370.0	 430413.0	   1577739.0
"Brazil"		America	     8511965.0	 53443075.0  175552771.0
"Brunei"		Asia	     5770.0	 44983.0	   336376.0
"Bulgaria"		Europe	     110910.0	 7250500.0   7796694.0
"Burkina Faso"		Africa	     274200.0	 4376162.0   12217363.0
"Burma"			Asia	     678500.0	 19487657.0  41771657.0
"Burundi"		Africa	     27830.0	 2362522.0   5713711.0
"Cambodia"		Asia	     181040.0	 4163023.0   12432869.0
"Cameroon"		Africa	     475440.0	 4887591.0   14791629.0
"Canada"		America	     9976140.0	 14011422.0  31278097.0
"Cape Verde"		Africa	     4033.0	 146403.0	   401343.0
"Cayman Islands"	America	     262.0	 6286.0	   38410.0
"Central African Republic" Africa    622984.0	 1259816.0   3501489.0
"Chad"			Africa	     1284000.0	 2607769.0   8418864.0
"Chile"			America	     756950.0	 6090833.0   15153797.0
"China"			Asia	     9596960.0	 562579779.0 1262474301.0
"Colombia"		America	     1138910.0	 11591658.0  39685655.0
"Comoros"		Africa	     2170.0	 148057.0	   578400.0
"Cook Islands"		Oceania	     240.0	 14575.0	   20407.0
"Costa Rica"		America	     51100.0	 866982.0	   3710558.0
"Cote d'Ivoire"		Africa	     322460.0	 2860288.0   15865601.0
"Croatia"		Europe	     56542.0	 3837297.0   4282216.0
"Cuba"			America	     110860.0	 5784797.0   11141997.0
"Cyprus"		Asia	     9250.0	 494000.0	   758363.0
"Czech Republic"	Europe	     78866.0	 8925122.0   10272179.0
"Democratic Republic of the Congo" Africa 2345410.0 13568762.0 51809830.0
"Denmark"		Europe	     43094.0	 4271000.0   5336394.0
"Djibouti"		Africa	     23000.0	 60036.0	   430822.0
"Dominica"		America	     754.0	 51423.0	   71540.0
